site_location,availability,BHK,society,bath,balcony,total_sqft,area_type,price
Gokhale Nagar,Ready To Move,2,,2,1,720,Super built-up  Area,120
Gultekdi,19-Mar,2,,2,2,30Acres,Plot  Area,29.5
Guruwar peth,Ready To Move,4,,4,0,1200,Plot  Area,135
Hadapsar,Ready To Move,2,RMncy R,2,2,1200,Super built-up  Area,35
Hadapsar Industrial Estate,Ready To Move,3,Pritehi,2,2,1340,Built-up  Area,48.33
Hingne Khurd,Ready To Move,4,Soyleif,4,,6136,Plot  Area,560
Jangali Maharaj Road,Ready To Move,2,DLhtsan,2,2,918,Super built-up  Area,48
Kalyani Nagar,Ready To Move,3,CoiewSy,3,2,1500,Plot  Area,115
Karve Nagar,Ready To Move,2,Velas V,2,2,1315,Super built-up  Area,85
Karve Road,Ready To Move,4,,5,,2400,Plot  Area,775
Kasba Peth,Ready To Move,3,,2,2,1390,Super built-up  Area,62.55
Katraj,Ready To Move,3,Aklia R,2,1,1330,Super built-up  Area,56
Khadaki,Ready To Move,5,BrardCo,4,,3100,Built-up  Area,265
Khadki,17-Dec,3,Ceral C,3,3,1824,Super built-up  Area,125
Kharadi,Ready To Move,3,Brnia G,2,2,1420,Super built-up  Area,96
Kondhwa,Ready To Move,1,,1,0,750,Plot  Area,56.25
Kondhwa Budruk,Ready To Move,3,ShshaSa,2,1,1260,Super built-up  Area,60
Kondhwa Khurd,19-Sep,3,Orens G,3,2,1561,Super built-up  Area,95
Kothrud,Ready To Move,2,,2,2,1060,Super built-up  Area,42
Laxmi Road,18-Jul,2,SNnia E,2,1,1225,Super built-up  Area,67.38
Lulla Nagar,Ready To Move,3,Soitya ,3,2,2144,Super built-up  Area,135
Mahatma Gandhi Road,Ready To Move,7,,6,2,1200,Plot  Area,140
Mangalwar peth,Ready To Move,2,Itelaa ,2,2,880,Super built-up  Area,29
Manik Bagh,21-Dec,3,GoAirej,3,2,1639,Super built-up  Area,110
Ma et yard,Ready To Move,3,Pronyt ,2,1,1240,Built-up  Area,62
Model colony,Ready To Move,2,,2,2,1500,Super built-up  Area,69
Mukund Nagar,Ready To Move,2,RInceeg,2,1,1243,Super built-up  Area,46
Mundhawa,Ready To Move,3,Aiitya ,3,,1575,Super built-up  Area,78
Nagar Road,Ready To Move,2,,2,2,1027,Super built-up  Area,44
Nana Peth,Ready To Move,3,Prrtht ,2,1,1082,Super built-up  Area,56
Narayan Peth,Ready To Move,3,,3,3,1637,Super built-up  Area,73
Narayangaon,Ready To Move,3,Puestol,3,2,1665,Super built-up  Area,86.58
Navi Peth,18-Dec,2,GoontLa,2,0,1265,Super built-up  Area,56.93
Padmavati,21-Dec,3,KonteiT,2,2,1691,Super built-up  Area,102
Parvati Darshan,Ready To Move,2,SLaceda,2,1,1100,Super built-up  Area,38
Pashan,Ready To Move,5,,2,2,24,Built-up  Area,150
Paud Road,19-Jan,3,,3,2,1500,Plot  Area,62
Pirangut,Ready To Move,4,Taonte ,5,1,3205,Built-up  Area,380
Prabhat Road,Ready To Move,5,,4,1,1666,Built-up  Area,150
Pune Railway Station,Ready To Move,2,GRhtiru,2,2,1115,Super built-up  Area,50
Rasta Peth,Ready To Move,2,Brama P,2,1,1070,Super built-up  Area,45
Raviwar Peth,Ready To Move,2,Aentsbe,2,2,1128,Super built-up  Area,105
Sadashiv Peth,Ready To Move,2,PrityTr,2,1,1162,Super built-up  Area,57
Sahakar Nagar,Ready To Move,2,Alivae ,2,2,1339,Super built-up  Area,55
Salunke Vihar,Ready To Move,2,Neagar ,2,2,1192,Super built-up  Area,75
Sasson Road,Ready To Move,3,DSimaUl,3,1,1920,Super built-up  Area,115
Satara Road,Ready To Move,2,Shateor,2,1,1255,Super built-up  Area,52.32
Senapati Bapat Road,18-Apr,2,ProdsWe,2,1,1357,Super built-up  Area,115
Shaniwar Peth,Ready To Move,3,,3,2,1600,Super built-up  Area,75
Shivaji Nagar,Ready To Move,2,Saersel,2,2,1225,Super built-up  Area,55.11
Shukrawar Peth,Ready To Move,4,Saa  H,4,3,2400,Plot  Area,200
Sinhagad Road,Ready To Move,3,,3,3,1570,Super built-up  Area,80
Somwar Peth,Ready To Move,2,Bhmesy ,2,2,1093,Super built-up  Area,70
Swargate,Ready To Move,3,Suncy R,3,3,1865,Built-up  Area,145
Tilak Road,Ready To Move,6,,7,3,1200,Plot  Area,165
Uruli Devachi,Ready To Move,2,Srsica ,2,2,1039,Super built-up  Area,80
Vadgaon Budruk,Ready To Move,2,Prlla C,2,1,1246,Super built-up  Area,64.5
Wadgaon Sheri,Ready To Move,3,Suent V,3,2,1985,Super built-up  Area,75
Viman Nagar,Ready To Move,3,APncyla,3,3,1590,Super built-up  Area,49
Vishrant Wadi,Ready To Move,4,EmardBo,4,2,4000,Plot  Area,675
Wagholi,Ready To Move,2,Assha A,2,2,775,Super built-up  Area,38
Wakadewadi,Ready To Move,2,PancyRe,2,1,1000,Super built-up  Area,50
Wanowrie,Ready To Move,3,Goateds,3,2,1800,Super built-up  Area,175
Warje,18-Jun,2,SSestth,2,1,1035,Super built-up  Area,41
Yerawada,Ready To Move,3,Syonyph,2,1,1520,Super built-up  Area,75
Alandi Road,Ready To Move,2,BrlisCo,2,1,1360,Super built-up  Area,95
Ambegaon Budruk,Ready To Move,4,FeowsMe,5,3,6000,Plot  Area,400
Anandnagar,Ready To Move,2,Shyas S,2,2,1117,Super built-up  Area,56
Aundh,Ready To Move,4,Esnamin,4,3,1200,Plot  Area,120
Aundh Road,Ready To Move,2,BrontLa,2,1,1330,Super built-up  Area,92.5
Balaji Nagar,Ready To Move,3,Prionad,3,2,1937,Super built-up  Area,160
Baner,18-Aug,2,Pra un,2,1,1128,Super built-up  Area,65.49
Baner road,Ready To Move,2,NatisAt,2,1,1053,Super built-up  Area,45
Bhanda ar Road,18-May,2,Prcesvy,2,1,1198,Super built-up  Area,77
Bhavani Peth,18-Apr,2,Spows M,2,1,1152,Super built-up  Area,56
Bibvewadi,17-Dec,6,,6,2,1200,Super built-up  Area,125
Bopodi,Ready To Move,2,Maentr ,2,1,1625,Super built-up  Area,75
Budhwar Peth,Ready To Move,3,Dieldli,3,3,1397,Super built-up  Area,105
Bund Garden Road,Ready To Move,3,Saade E,3,3,1523,Super built-up  Area,170
Camp,Ready To Move,2,Prrtht ,2,1,883,Super built-up  Area,45
Chandan Nagar,Ready To Move,1,Baowsig,1,0,700,Super built-up  Area,38
Dapodi,Ready To Move,2,Neite T,2,1,1170,Super built-up  Area,62.5
Deccan Gymkhana,Ready To Move,3,Shiew T,2,2,1200,Super built-up  Area,42
Dehu Road,Ready To Move,3,,3,2,2400,Built-up  Area,170
Dhankawadi,Ready To Move,2,,2,2,1480,Super built-up  Area,65
Dhayari Phata,Ready To Move,3,DLhtsnd,3,2,1897,Super built-up  Area,120
Dhole Patil Road,Ready To Move,2,,2,1,996,Super built-up  Area,67
Erandwane,18-May,3,SNnia E,3,2,1875,Super built-up  Area,110
Fatima Nagar,Ready To Move,3,,2,2,1500,Super built-up  Area,98
Fergusson College Road,Ready To Move,3,Maens G,3,3,3095,Super built-up  Area,350
Ganesh Peth,Ready To Move,3,SJa te,2,1,1390,Super built-up  Area,175
Ganeshkhind,20-Dec,3,Un 46th,3,0,1445 - 1455,Super built-up  Area,65.255
Ghorpade Peth,17-Nov,1,Prensya,1,0,697,Super built-up  Area,45
Ghorpadi,Ready To Move,1,Shthi S,1,1,710,Built-up  Area,27
Gokhale Nagar,Ready To Move,2,VaoldMa,2,1,910,Carpet  Area,30.5
Gultekdi,Ready To Move,3,Suiseit,2,1,1025,Built-up  Area,48
Guruwar peth,18-Aug,2,Vrenty ,2,0,884 - 1116,Super built-up  Area,46.5
Hadapsar,Ready To Move,4,,4,,1200,Plot  Area,244
Hadapsar Industrial Estate,18-May,3,,2,1,1453,Super built-up  Area,46.48
Hingne Khurd,Ready To Move,4,Adeatlm,5,2,3335,Super built-up  Area,300
Jangali Maharaj Road,18-Mar,2,SLityee,2,0,850 - 1093,Super built-up  Area,36.435
Kalyani Nagar,Ready To Move,2,,2,1,1281,Super built-up  Area,74
Karve Nagar,Ready To Move,1,,1,1,565,Built-up  Area,35
Karve Road,Ready To Move,2,DSingSt,2,2,1024,Built-up  Area,42
Kasba Peth,Ready To Move,3,Suashen,3,2,1620,Built-up  Area,62
Katraj,Ready To Move,2,SSthamh,2,2,1254,Super built-up  Area,40
Khadaki,Ready To Move,3,Skave E,2,2,1300,Built-up  Area,75
Khadki,Ready To Move,2,,2,2,1233,Built-up  Area,43
Kharadi,Ready To Move,1,,1,1,1200,Plot  Area,28
Kondhwa,18-Oct,3,PuendWe,2,1,1510,Super built-up  Area,105
Kondhwa Budruk,Ready To Move,2,Baowsig,2,1,950,Super built-up  Area,65
Kondhwa Khurd,Ready To Move,3,PaontWa,3,2,1945,Super built-up  Area,97.42
Koregaon Pa ,Ready To Move,2,Shierhi,2,3,1008,Super built-up  Area,45
Kothrud,Ready To Move,3,Bhmesy ,2,1,1265,Super built-up  Area,79
Law College Road,19-Dec,3,Magiaya,2,1,1255,Super built-up  Area,77.68
Laxmi Road,18-Dec,4,PrityFa,6,2,2689,Built-up  Area,220
Lulla Nagar,Ready To Move,2,,2,2,1200,Built-up  Area,46.17
Mahatma Gandhi Road,19-Dec,3,Daivon ,3,3,1403,Super built-up  Area,51.63
Mangalwar peth,Ready To Move,3,Srier P,3,2,1535,Super built-up  Area,85
Manik Bagh,Ready To Move,3,,3,3,1500,Plot  Area,100
Ma et yard,Ready To Move,3,SihtsHe,2,2,1475,Super built-up  Area,120
Model colony,Ready To Move,3,,2,2,1390,Super built-up  Area,60.47
Mukund Nagar,Ready To Move,3,,2,1,1278,Super built-up  Area,53.76
Mundhawa,Ready To Move,2,AbnceEs,2,2,1133,Super built-up  Area,55
Nagar Road,Ready To Move,5,,5,1,1560,Plot  Area,145
Nana Peth,Ready To Move,5,,5,2,2900,Plot  Area,90
Narayan Peth,Ready To Move,2,,2,1,1170,Super built-up  Area,51.99
Narayangaon,Ready To Move,3,,3,3,1200,Plot  Area,200
Navi Peth,18-Dec,3,Prtates,3,2,1697,Super built-up  Area,94.79
Padmavati,Ready To Move,3,,3,3,1651,Super built-up  Area,97.38
Parvati Darshan,Ready To Move,3,Siace P,3,1,1560,Super built-up  Area,188
Pashan,17-Apr,3,Koagati,2,1,1192,Super built-up  Area,60
Paud Road,Ready To Move,2,,2,3,1078,Built-up  Area,65
Pirangut,Ready To Move,7,,7,3,800,Plot  Area,105
Prabhat Road,Ready To Move,2,Salisal,2,2,1349,Super built-up  Area,78
Rasta Peth,Ready To Move,3,Eladero,3,2,1680,Super built-up  Area,120
Raviwar Peth,Ready To Move,3,,2,2,1314,Super built-up  Area,63
Sadashiv Peth,Ready To Move,2,,2,1,1060,Super built-up  Area,48.7
Sahakar Nagar,Ready To Move,2,SLnorMa,2,0,820,Built-up  Area,39
Salunke Vihar,Ready To Move,4,Skensk ,4,3,5000,Plot  Area,400
Sasson Road,Ready To Move,3,,3,2,2000,Super built-up  Area,85
Satara Road,Ready To Move,2,Sothin ,2,3,856,Super built-up  Area,40
Senapati Bapat Road,18-Feb,3,Puwerun,4,0,1621,Super built-up  Area,130
Shaniwar Peth,18-Dec,3,,3,1,1200,Plot  Area,68.4
Shivaji Nagar,Ready To Move,3,TGjraVa,3,2,1484,Super built-up  Area,52.5
Shukrawar Peth,Ready To Move,4,,5,2,600,Plot  Area,60
Sinhagad Road,Ready To Move,4,Apavea ,3,2,14000,Plot  Area,800
Somwar Peth,Ready To Move,1,KHatsFl,1,1,500,Super built-up  Area,20
Swargate,Ready To Move,1,,1,1,485,Super built-up  Area,15
Tilak Road,Ready To Move,2,,2,1,1050,Super built-up  Area,42
Uruli Devachi,Ready To Move,3,,3,3,1617,Super built-up  Area,66.68
Vadgaon Budruk,Ready To Move,2,Itelaa ,1,1,550,Built-up  Area,16
Wadgaon Sheri,Ready To Move,3,PancyRe,3,2,1384,Built-up  Area,62.28
Viman Nagar,18-Apr,2,,2,2,1408,Super built-up  Area,85
Vishrant Wadi,Ready To Move,2,Sungsha,2,1,1150,Built-up  Area,49
Wagholi,Ready To Move,3,,2,2,1410,Super built-up  Area,75
Wakadewadi,Ready To Move,4,Adsia F,4,1,2150,Built-up  Area,100
Wanowrie,Ready To Move,3,,4,1,2292,Super built-up  Area,275
Warje,Ready To Move,3,Maens G,3,,2006,Built-up  Area,297
Yerawada,Ready To Move,3,ArnzaFi,3,2,1508,Built-up  Area,70.25
Alandi Road,Ready To Move,2,Foghaa ,2,2,1040,Built-up  Area,50
Ambegaon Budruk,Ready To Move,2,Lancy R,2,1,1240,Plot  Area,60
Anandnagar,Ready To Move,3,Srier P,3,1,1535,Super built-up  Area,78
Aundh,Ready To Move,2,RothaVa,2,2,1180,Built-up  Area,75
Aundh Road,Ready To Move,6,,6,2,2200,Built-up  Area,68
Balaji Nagar,Ready To Move,2,SNity S,2,2,1400,Super built-up  Area,78
Baner,Ready To Move,1,,1,1,500,Super built-up  Area,25
Baner road,Ready To Move,4,Pronege,4,3,4800,Plot  Area,525
Bhanda ar Road,Ready To Move,3,Puallhi,4,1,1984,Super built-up  Area,146
Bhavani Peth,Ready To Move,4,VDe 1Du,5,3,3000,Plot  Area,250
Bibvewadi,Ready To Move,3,BrlisMe,3,3,1960,Super built-up  Area,160
Bopodi,Ready To Move,2,Shthi S,2,1,1035,Super built-up  Area,45
Budhwar Peth,Ready To Move,4,,4,1,2150,Built-up  Area,80
Bund Garden Road,Ready To Move,3,Mithmn ,3,2,1700,Built-up  Area,115
Camp,Ready To Move,4,Taonte ,5,1,3024,Super built-up  Area,248
Chandan Nagar,21-Jan,3,Sapus S,3,1,1586,Super built-up  Area,100
Dapodi,18-May,3,Asoilul,,,2264,Built-up  Area,155
Deccan Gymkhana,Ready To Move,4,Theanmp,4,1,2325,Plot  Area,120
Dehu Road,Ready To Move,2,Rarthne,2,2,1120,Super built-up  Area,55
Dhankawadi,18-Jun,3,Shalkri,,,1440 - 1884,Super built-up  Area,67.98
Dhayari Phata,Ready To Move,2,Cha Gr,2,2,1128,Super built-up  Area,59
Dhole Patil Road,Ready To Move,6,,6,2,1200,Plot  Area,250
Erandwane,Ready To Move,2,DLhtsan,2,2,924,Super built-up  Area,65
Fatima Nagar,Ready To Move,3,AritaFe,3,2,1600,Super built-up  Area,52
Fergusson College Road,Ready To Move,2,,2,2,1006,Super built-up  Area,35
Ganesh Peth,Ready To Move,2,Srncy R,2,2,1200,Super built-up  Area,55
Ganeshkhind,20-Dec,2,,2,1,1250,Super built-up  Area,62
Ghorpade Peth,Ready To Move,3,,3,1,1200,Plot  Area,130
Ghorpadi,Ready To Move,2,VBownre,2,1,957,Built-up  Area,56
Gokhale Nagar,Ready To Move,2,SSthamh,2,2,1140,Super built-up  Area,41
Gultekdi,Ready To Move,2,RortsCo,2,1,1050,Super built-up  Area,67
Guruwar peth,Ready To Move,3,,3,2,1565,Super built-up  Area,88.5
Hadapsar,Ready To Move,2,GClmsun,2,3,1190,Super built-up  Area,57
Hadapsar Industrial Estate,18-Jan,3,,3,2,2842,Built-up  Area,162
Hingne Khurd,Ready To Move,3,SoapeSu,2,2,1558.67,Built-up  Area,65
Jangali Maharaj Road,Ready To Move,1,,1,1,630,Super built-up  Area,39
Kalyani Nagar,Ready To Move,3,Iseenst,2,2,1403,Super built-up  Area,60.81
Karve Nagar,Ready To Move,3,SLourle,2,3,1542,Super built-up  Area,85
Karve Road,Ready To Move,4,IDlleri,4,0,2750,Built-up  Area,220
Kasba Peth,Ready To Move,4,Emine P,5,1,3596,Super built-up  Area,290
Katraj,Ready To Move,3,,2,,1635,Super built-up  Area,78
Khadaki,Ready To Move,2,,2,1,1239,Super built-up  Area,53
Khadki,Ready To Move,2,,2,2,1194,Super built-up  Area,47
Kharadi,Ready To Move,3,Puceswn,3,1,1596,Super built-up  Area,105
Kondhwa,17-Nov,2,Unm 2El,2,1,1009,Super built-up  Area,38.34
